,id,ccf,age,sex,painloc,painexer,relrest,pncaden,cp,trestbps,htn,chol,smoke,cigs,years,fbs,dm,famhist,restecg,ekgmo,ekgday,ekgyr,dig,prop,nitr,pro,diuretic,27,thaldur,thaltime,met,thalach,thalrest,tpeakbps,trestbpd,tpeakbpd,36,exang,xhypo,oldpeak,slope,rldv5,rldv5e,ca,restckm,exerckm,restef,restwm,50,51,52,cmo,cday,cyr,num,lmt,ladprox,laddist,diag,cxmain,ramus,om1,om2,rcaprox,rcadist,lvx1,lvx2,lvx3,lvx4,lvf,cathef,junk:,75,76,77,78,81,84,85,86,87,88,name
count,1541.0,1535.0,1541.0,1541.0,1095.0,772.0,762.0,752.0,1540.0,1483.0,1497.0,1341.0,401.0,651.0,642.0,1449.0,1541.0,670.0,1539.0,1393.0,1388.0,1393.0,1361.0,1363.0,1360.0,1364.0,1319.0,1333.0,1486.0,887.0,1391.0,1390.0,1388.0,1379.0,1374.0,1383.0,1382.0,1384.0,1382.0,1383.0,1138.0,482.0,482.0,309.0,62.0,61.0,4.0,6.0,399.0,62.0,18.0,1045.0,1047.0,1044.0,1541.0,1026.0,1080.0,1066.0,724.0,1075.0,709.0,1034.0,704.0,1060.0,1045.0,1281.0,1280.0,1279.0,1280.0,1502.0,457.0,121.0,1487.0,42.0,37.0,167.0,91.0,87.0,1490.0,1490.0,1490.0,1490.0,1541
unique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023
top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,name
freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303
mean,1492.6210253082413,3233929.2892508144,52.68462037637897,0.7806619078520441,0.9031963470319635,0.5634715025906736,0.6561679790026247,2.1210106382978724,3.1584415584415586,131.26567768037762,0.47628590514362057,246.90296122296792,0.45885286783042395,21.026113671274963,20.72429906542056,0.2056590752242926,0.12005191434133679,0.5805970149253732,0.6198830409356725,6.066044508255564,15.5821325648415,1985.6683417085428,0.036737692872887584,0.2611885546588408,0.31985294117647056,0.2316715542521994,0.08567096285064443,55.42160540135034,8.339401076716015,4.415332581736189,6.477489516175413,136.42805755395685,78.00360230547551,173.69833212472807,90.78384279475982,131.10412147505423,83.1013024602026,0.33815028901734107,0.019536903039073805,0.8445408532176428,1.2258347978910369,14.462655601659751,14.16804979253112,0.6763754045307443,47.66129032258065,1.3934426229508197,42.75,0.6666666666666666,4.949874686716792,1.2741935483870968,0.5555555555555556,6.135885167464115,15.63992359121299,1984.8256704980843,1.136275146009085,0.2953216374269006,0.9055555555555556,0.6116322701688556,0.12292817679558012,0.8288372093023256,-0.1692524682651622,0.5251450676982592,-0.10369318181818182,0.9358490566037736,0.5645933014354066,1.0085870413739266,1.04921875,1.2619233776387804,1.996875,1.2536617842876165,62.37527352297593,5.7727272727272725,0.121049092131809,5.119047619047619,15.378378378378379,85.53293413173652,12.087912087912088,1.6206896551724137,0.06308724832214765,0.021476510067114093,0.030201342281879196,0.003355704697986577,
std,830.9315319750339,6491850.22708056,9.803813381540778,0.4139324595559281,0.2958253301298323,0.496276533165755,0.4752978324846806,1.0461953337298444,0.95490943058698,17.92952395577349,0.4996042214560009,59.95143841713533,0.498926528456851,18.933428153465595,16.354125221313858,0.404321950979191,0.3251277429737472,0.4938300349604539,0.7787120418030046,3.475067590639331,8.735793364981287,2.3265666254078634,0.18818622534363408,0.43944371000107635,0.46659095143280094,0.42205501935923934,0.27998371565192115,52.74016323582505,4.507561590583228,4.279697922517481,2.8942986562291617,24.397540059338137,15.729485489437256,26.61501188960485,14.850721173766258,17.87359148119797,9.753805683515665,0.4732509868538291,0.13845245753087815,1.0914071306903317,0.9269541657788202,5.720050412094462,5.708691984347354,0.9356530125599871,15.760443894459211,1.1442419401011041,14.773286702694158,1.2110601416389968,1.949743891011979,0.9610335085458042,0.5113099925649136,3.5856654141033077,8.832694523030735,2.195234101842004,1.2785397055981362,1.060840690028041,1.2404843244810824,1.2292276898419148,1.2524164152823107,1.2634770852622907,1.0317623175688562,1.1830712276772843,1.128595344016916,1.30577193832208,1.1869702698899394,0.12153170414831191,0.3853242278330305,1.0051727202661738,2.152146318535941,0.6334843106789316,15.587535125722578,1.8013420922560304,0.340424842852882,4.139060697923112,9.727827641906009,5.10348856723283,29.810381618806094,10.659902459641822,0.24320144604098445,0.1450151139105617,0.1711983983666353,0.057850583788477086,
min,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,0.0,63.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,37.0,84.0,26.0,80.0,50.0,0.0,0.0,-3.0,0.0,2.0,2.0,0.0,21.0,0.0,29.0,0.0,1.0,0.0,0.0,1.0,1.0,1980.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,8.0,0.0,0.0,1.0,1.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,
25%,1089.0,2121.0,45.0,1.0,1.0,0.0,0.0,1.0,2.0,120.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,1984.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,0.0,5.0,120.0,66.0,158.0,80.0,120.0,80.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,35.25,0.0,31.25,0.0,3.0,0.0,0.0,3.0,8.0,1983.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,54.0,4.7,0.0,1.0,7.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,
50%,1553.0,7620.0,54.0,1.0,1.0,1.0,1.0,3.0,3.0,130.0,0.0,239.94,0.0,20.0,20.0,0.0,0.0,1.0,0.0,6.0,15.0,1986.0,0.0,0.0,0.0,0.0,0.0,50.0,8.0,4.0,6.0,138.0,76.0,170.0,90.0,130.0,80.0,0.0,0.0,0.2,1.0,14.0,14.0,0.0,49.5,1.0,41.0,0.0,6.0,1.5,1.0,6.0,15.0,1985.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,65.0,5.6,0.0,3.5,17.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,
75%,2074.0,321015.0,60.0,1.0,1.0,1.0,1.0,3.0,4.0,140.0,1.0,278.0,1.0,30.0,35.0,0.0,0.0,1.0,1.0,9.0,23.0,1988.0,0.0,1.0,1.0,0.0,0.0,100.0,11.0,7.5,8.0,154.0,88.0,190.0,100.0,140.0,90.0,1.0,0.0,1.5,2.0,18.0,18.0,1.0,60.0,2.0,52.5,0.75,7.0,2.0,1.0,9.0,23.0,1986.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,73.0,6.9,0.0,9.75,25.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,
max,3107.0,17541960.0,78.0,1.0,1.0,1.0,1.0,3.0,4.0,200.0,1.0,603.0,1.0,100.0,60.0,1.0,1.0,1.0,2.0,12.0,31.0,1989.0,1.0,1.0,1.0,1.0,1.0,200.0,24.0,20.0,20.0,202.0,139.0,250.0,160.0,200.0,122.0,1.0,1.0,6.2,3.0,36.0,36.0,3.0,80.0,3.0,60.0,3.0,7.0,3.0,1.0,12.0,31.0,1989.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,7.0,8.0,8.0,4.0,96.0,11.3,2.0,12.0,31.0,89.0,88.0,76.0,1.0,1.0,1.0,1.0,
